id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
11880,Dog Soldiers,"Horror,Action,Thriller",en,"A squad of British soldiers on training in the lonesome Scottish wilderness find a wounded Special Forces captain and the remains of his team. As they encounter zoologist Megan, it turns out that werewolves are active in the region. They have to prepare for some action as the there will be a full moon tonight...",9.599,2002-05-10,6.7,650
320007,Victoria,"Crime,Thriller,Romance",de,A young Spanish woman who has newly moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,12.238,2015-06-11,7.7,980
12545,Jesus Christ Superstar,"Music,History,Drama",en,"Recounts the last days of Jesus Christ from the perspective of Judas Iscariot, his betrayer. As Jesus' following increases, Judas begins to worry that Jesus is falling for his own hype, forgetting the principles of his teachings and growing too close to the prostitute Mary Magdalene. After Jesus has an outburst in a temple, Judas turns on him.",14.315,1973-08-15,7.1,459
659986,The Owners,"Thriller,Horror",en,"A group of friends think they found the perfect easy score - an empty house with a safe full of cash. But when the elderly couple that lives there comes home early, the tables are suddenly turned. As a deadly game of cat and mouse ensues, the would-be thieves must fight to save themselves from a nightmare they could never have imagined.",55.13,2020-08-27,5.8,252
9826,The Phantom,"Adventure,Action",en,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,11.236,1996-06-06,5.2,454
942,Lethal Weapon 2,"Action,Adventure,Comedy,Crime,Thriller",en,"In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!",22.422,1989-07-07,7.0,2771
41110,I Am Love,"Drama,Romance",it,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",10.276,2009-09-05,6.9,273
531499,The Tax Collector,"Action,Crime,Drama",en,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,59.819,2020-08-07,5.7,359
37233,The Firm,"Drama,Mystery,Thriller",en,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",17.67,1993-06-30,6.7,1592
48714,The Big Shave,"Drama,Horror",en,"A man walks into a meticulously clean and sterile bathroom and proceeds to shave. When his face is clean, however, he only continues to shave until he pierces through his skin. Blood covers him and falls around him, the red contrasting the perfect spotlessness of the bathroom.",5.98,1967-12-29,7.0,259
28468,The Key,"Drama,Romance",it,"Art professor Nino Rolfe attempts to break down his wife Teresa's conventional modesty. Noticing her affection for their daughter's fiancé, Nino instigates her sexual interest in him - setting off a chain of unexpected events and emotional complications...",24.363,1983-10-19,5.9,302
156717,Death Race: Inferno,"Action,Science Fiction,Thriller",en,"Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",53.523,2013-01-04,5.8,605
838,American Graffiti,"Comedy,Drama",en,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,12.825,1973-08-01,7.1,1104
610120,Anima,Music,en,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",6.645,2019-06-27,7.4,339
11082,The Seventh Sign,"Horror,Fantasy",en,"Abby is a pregnant woman with a curious new boarder in the apartment over her garage. Turns out he's heaven-sent and is speeding along the Apocalypse by bloodying rivers, egging on plagues and following scripture word for word.",18.93,1988-04-01,6.1,281
429662,Viceroy's House,"Drama,History",en,"In 1947, Lord Mountbatten assumes the post of last Viceroy, charged with handing India back to its people, living upstairs at the house which was the home of British rulers, whilst 500 Hindu, Muslim and Sikh servants lived downstairs.",7.502,2017-03-03,6.7,235
37632,The Order,"Adventure,Action,Comedy",en,"When Rudy, an artifacts smuggler, goes to Jerusalem to rescue his kidnapped archeologist father, he faces deportation by a scheming police chief. Now, to find his dad and recover a sacred scroll, he'll have to outwit officials and a ruthless sect. With the help of a beautiful Israeli cop, Rudy battles a faction of religious zealots determined to see a holy war at all costs.",12.84,2001-05-05,5.1,202
369192,Battle of the Sexes,"Comedy,Drama,History",en,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,14.973,2017-09-22,6.8,1596
702,A Streetcar Named Desire,Drama,en,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,16.661,1951-09-18,7.7,1067
299687,The 5th Wave,"Science Fiction,Adventure,Action",en,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,40.719,2016-01-14,5.9,5157
641,Requiem for a Dream,"Crime,Drama",en,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,14.696,2000-10-06,8.0,8213
18764,Twin Dragons,"Comedy,Action",cn,"Twins, separated at birth, end up as a Hong Kong gangster and a New York concert pianist. When the pianist travels to Hong Kong for a concert, the two inevitably get mistaken for each other.",15.359,1992-01-15,6.6,273
1901,In Good Company,"Comedy,Drama,Romance",en,"Dan Foreman is a seasoned advertisement sales executive at a high-ranking publication when a corporate takeover results in him being placed under naive supervisor Carter Duryea, who is half his age. Matters are made worse when Dan's new supervisor becomes romantically involved with his daughter an 18 year-old college student Alex.",6.629,2004-12-29,6.0,517
30159,I Confess,"Crime,Drama,Thriller",en,"Unable, due to the seal of the confessional, to be forthcoming with information that would serve to clear himself during a murder investigation, a priest becomes the prime suspect.",7.817,1953-02-28,7.1,309
8848,The Bank Job,"Thriller,Crime,Drama",en,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt.",16.121,2008-02-28,6.8,1790
513347,Flavors of Youth,"Animation,Romance,Drama",zh,"The rigorous city life of China, while bustling and unforgiving, contains the everlasting memories of days past. Three stories told in three different cities, follow the loss of youth and the daunting realization of adulthood. Though reality may seem ever changing, unchangeable are the short-lived moments of one's childhood days. A plentiful bowl of noodles, the beauty of family and the trials of first love endure the inevitable flow of time, as three different characters explore the strength of bonds and the warmth of cherished memories. Within the disorder of the present world, witness these quaint stories recognize the comfort of the past, and attempt to revive the neglected flavors of youth.",41.788,2018-08-04,6.8,462
714,Tomorrow Never Dies,"Adventure,Action,Thriller",en,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now James Bond must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,24.775,1997-12-11,6.3,2494
